category|answer|letter
0|zapadnaaustralija|Z
0|zapadnavirdžinija|Z
0|zapadnavirdzinija|Z
0|zajednicabahama|Z
0|zajednicadominike|Z
0|izrael|I
0|indija|I
0|indonezija|I
0|irak|I
0|iran|I
0|irska|I
0|island|I
0|istočnitimor|I
0|istocnitimor|I
0|italija|I
0|ilinois|I
0|indijana|I
0|islamskarepublikairan|I
0|italijanskarepublika|I
0|islamskarepublikamauritanija|I
0|islamskarepublikapakistan|I
0|islamskarepublikaavganistan|I
0|islamskarepublikaafganistan|I
0|istočnarepublikaurugvaj|I
0|istocnarepublikaurugvaj|I
0|jamajka|J
0|japan|J
0|jemen|J
0|jermenija|J
0|jordan|J
0|južnakoreja|J
0|juznakoreja|J
0|južnisudan|J
0|juznisudan|J
0|južnoafričkarepublika|J
0|juznoafrickarepublika|J
0|jar|J
0|južnaafrika|J
0|juznaafrika|J
0|juta|J
0|južnaaustralija|J
0|južnadakota|J
0|južnakarolina|J
0|juznaaustralija|J
0|juznadakota|J
0|juznakarolina|J
0|jugoslavija|J
0|kazahstan|K
0|kazakstan|K
0|kambodža|K
0|kambodza|K
0|kamerun|K
0|kanada|K
0|katar|K
0|kenija|K
0|kina|K
0|kipar|K
0|kirgizija|K
0|kirgistan|K
0|kirgiskarepublika|K
0|kiribati|K
0|kolumbija|K
0|kongo|K
0|komori|K
0|kostarika|K
0|kuba|K
0|kuvajt|K
0|kalifornija|K
0|kanzas|K
0|kentaki|K
0|kolorado|K
0|konektikat|K
0|kvinslend|K
0|komonveltaustralija|K
0|kraljevinakambodža|K
0|kraljevinakambodza|K
0|kontinentalnakina|K
0|kongobrazavil|K
0|kongokinšasa|K
0|kongokinsasa|K
0|kraljevinadanska|K
0|kraljevinalesoto|K
0|kraljevinamaroko|K
0|kraljevinaholandija|K
0|kurasao|K
0|kraljevinanorveška|K
0|kraljevinanorveska|K
0|kraljevinanizozemska|K
0|komonveltportoriko|K
0|kraljevinasaudijskaarabija|K
0|kraljevinašpanija|K
0|kraljevinaspanija|K
0|kraljevinašpanjolska|K
0|kraljevinaspanjolska|K
0|kraljevinašvedska|K
0|kraljevinasvedska|K
0|kraljevinatajland|K
0|kneževinaandora|K
0|knezevinaandora|K
0|kraljevinabahrein|K
0|kraljevinabelgija|K
0|kraljevinabutan|K
0|kooperativnarepublikagvajana|K
0|kaboverde|K
0|kneževinalihtenštajn|K
0|knezevinalihtenstajn|K
0|kneževinamonako|K
0|knezevinamonako|K
0|kraljevinasvaziland|K
0|kraljevinasvazi|K
0|kraljevinatonga|K
0|laos|L
0|laoskanarodnademokratskarepublika|L
0|lesoto|L
0|letonija|L
0|letonskarepublika|L
0|liban|L
0|libanskarepublika|L
0|liberija|L
0|libija|L
0|litvanija|L
0|litvanskarepublika|L
0|litva|L
0|lihtenštajn|L
0|lihtenstajn|L
0|luksemburg|L
0|luizijana|L
0|latvija|L
0|madagaskar|M
0|mađarska|M
0|madjarska|M
0|makedonija|M
0|malavi|M
0|maldivi|M
0|maldivskaostrva|M
0|maldivskarepublika|M
0|malezija|M
0|mali|M
0|malta|M
0|maroko|M
0|maršalskaostrva|M
0|marsalskaostrva|M
0|maršaloviotoci|M
0|marsaloviotoci|M
0|mauritanija|M
0|mauricijus|M
0|meksiko|M
0|mikronezija|M
0|mjanmar|M
0|mozambik|M
0|moldavija|M
0|moldova|M
0|monako|M
0|mongolija|M
0|masačusets|M
0|masacusets|M
0|mejn|M
0|merilend|M
0|mičigen|M
0|micigen|M
0|minesota|M
0|misisipi|M
0|misuri|M
0|montana|M
0|namibija|N
0|nauru|N
0|nemačka|N
0|nemacka|N
0|nepal|N
0|niger|N
0|nigerija|N
0|nikaragva|N
0|novizeland|N
0|norveška|N
0|norveska|N
0|nebraska|N
0|nevada|N
0|novijužnivels|N
0|novijuznivels|N
0|novimeksiko|N
0|narodnademokratskarepublikaalžir|N
0|narodnademokratskarepublikaalzir|N
0|narodnarepublikabangladeš|N
0|narodnarepublikabanglades|N
0|narodnarepublikakina|N
0|nrk|N
0|nrkina|N
0|nizozemska|N
0|nezavisnadržavapapuanovagvineja|N
0|nezavisnadrzavapapuanovagvineja|N
0|nezavisnadržavasamoa|N
0|nezavisnadrzavasamoa|N
0|njudžerzi|NJ
0|njuhempšir|NJ
0|njujork|NJ
0|njudzerzi|NJ
0|njuhempsir|NJ
0|njemačka|NJ
0|njemacka|NJ
0|obalaslonovače|O
0|obalaslonovace|O
0|obalaslonovekosti|O
0|obalabjelokosti|O
0|oman|O
0|ohajo|O
0|oklahoma|O
0|oregon|O
0|pakistan|P
0|palau|P
0|panama|P
0|papuanovagvineja|P
0|paragvaj|P
0|peru|P
0|poljska|P
0|portugalija|P
0|portugalskarepublika|P
0|portugal|P
0|palestina|P
0|pensilvanija|P
0|portoriko|P
0|pridnjestrovlje|P
0|pridnjestrovskamoldavskarepublika|P
0|ruanda|R
0|rumunija|R
0|rumunjska|R
0|rusija|R
0|ruskafederacija|R
0|republikasrpska|R
0|roudajland|R
0|republikamakedonija|R
0|republikasrbija|R
0|republikairska|R
0|republikaalbanija|R
0|republikajermenija|R
0|republikaaustrija|R
0|republikabelorusija|R
0|republikabjelarus|R
0|republikabenin|R
0|republikabocvana|R
0|republikakamerun|R
0|republikakaboverde|R
0|republikačile|R
0|republikacile|R
0|republikakongo|R
0|republikahrvatska|R
0|republikadžibuti|R
0|republikadzibuti|R
0|republikagana|R
0|republikagvineja|R
0|republikagvinejabisao|R
0|republikaisland|R
0|republikaindija|R
0|republikaindonezija|R
0|republikairak|R
0|republikaobalaslonovače|R
0|republikaobalaslonovace|R
0|republikakazahstan|R
0|republikakenija|R
0|republikakoreja|R
0|republikamalavi|R
0|republikamoldavija|R
0|republikasavezmjanmara|R
0|republikapalau|R
0|republikaperu|R
0|republikafilipini|R
0|republikapoljska|R
0|republikaruanda|R
0|republikasingapur|R
0|republikajužnaafrika|R
0|republikajuznaafrika|R
0|republikasudan|R
0|republikasurinam|R
0|republikatrinidaditobago|R
0|republikavanuatu|R
0|republikazambija|R
0|republikazimbabve|R
0|republikaangola|R
0|republikaarmenija|R
0|republikaazerbejdžan|R
0|republikaazerbejdzan|R
0|republikaazerbajdžan|R
0|republikaazerbajdzan|R
0|republikabugarska|R
0|republikaburundi|R
0|republikacipar|R
0|republikačad|R
0|republikacad|R
0|republikaelsalvador|R
0|republikaekvador|R
0|republikaekvatorskagvineja|R
0|republikaestonija|R
0|republikafidži|R
0|republikafidzi|R
0|republikafinska|R
0|republikagambija|R
0|republikagvatemala|R
0|republikagvinejabisau|R
0|republikahaiti|R
0|republikahonduras|R
0|republikajemen|R
0|republikajužnisudan|R
0|republikajuznisudan|R
0|republikakiribati|R
0|republikakolumbija|R
0|republikakostarika|R
0|republikakuba|R
0|republikalatvija|R
0|republikaliberija|R
0|republikalitva|R
0|republikamadagaskar|R
0|republikamaldivi|R
0|republikamali|R
0|republikamalta|R
0|republikamaršaloviotoci|R
0|republikamarsaloviotoci|R
0|republikamauricijus|R
0|republikaunijamjanmar|R
0|republikamoldova|R
0|republikamozambik|R
0|republikanamibija|R
0|republikanauru|R
0|republikaniger|R
0|republikanikaragva|R
0|republikapanama|R
0|republikaparagvaj|R
0|republikasanmarino|R
0|republikasejšeli|R
0|republikasejseli|R
0|republikasenegal|R
0|republikasijeraleone|R
0|republikaslovenija|R
0|republikatadžikistan|R
0|republikatadzikistan|R
0|republikatunis|R
0|republikaturska|R
0|republikauganda|R
0|republikauzbekistan|R
0|salvador|S
0|samoa|S
0|sanmarino|S
0|saotomeiprinsipe|S
0|svetitomaiprinsipe|S
0|saudijskaarabija|S
0|saudiarabija|S
0|svazi|S
0|svazilend|S
0|svetalucija|S
0|svetivinsentigrenadini|S
0|sentkitsinevis|S
0|svetikristoforinevis|S
0|severnakoreja|S
0|sjevernakoreja|S
0|sejšeli|S
0|sejseli|S
0|senegal|S
0|sijeraleone|S
0|singapur|S
0|sirija|S
0|sjedinjeneameričkedržave|S
0|sjedinjeneamerickedrzave|S
0|sad|S
0|slovačka|S
0|slovacka|S
0|slovačkarepublika|S
0|slovackarepublika|S
0|slovenija|S
0|solomonskaostrva|S
0|solomonovaostrva|S
0|salomonoviotoci|S
0|solomoni|S
0|somalija|S
0|somalijskarepublika|S
0|srbija|S
0|sudan|S
0|surinam|S
0|sranang|S
0|severnadakota|S
0|severnairska|S
0|severnakarolina|S
0|severnamarijanskaostrva|S
0|saveznarepublikabrazil|S
0|saveznademokratskarepublikaetiopija|S
0|saveznarepublikanemačka|S
0|saveznarepublikanemacka|S
0|sjedinjenemeksičkedržave|S
0|sjedinjenemeksickedrzave|S
0|svetimartin|S
0|saveznademokratskarepublikanepal|S
0|socijalističkarepublikavijetnam|S
0|socijalistickarepublikavijetnam|S
0|saveznedržavemikronezije|S
0|saveznedrzavemikronezije|S
0|saveznarepublikanigerija|S
0|saveznarepublikanjemačka|S
0|saveznarepublikanjemacka|S
0|sultanatoman|S
0|sirijskaarapskarepublika|S
0|srednjoafričkarepublika|S
0|srednjoafrickarepublika|S
0|svetivincentigrenadini|S
0|tajland|T
0|tanzanija|T
0|tadžikistan|T
0|tadzikistan|T
0|togo|T
0|togoanskarepublika|T
0|tonga|T
0|trinidaditobago|T
0|tuvalu|T
0|tunis|T
0|tunišanskarepublika|T
0|tunisanskarepublika|T
0|turkmenistan|T
0|turska|T
0|turskarepublika|T
0|tasmanija|T
0|teksas|T
0|tenesi|T
0|tajvan|T
0|transnistrija|T
0|talijanskarepublika|T
0|timor-leste|T
0|timorleste|T
0|uganda|U
0|uzbekistan|U
0|ujedinjeniarapskiemirati|U
0|uae|U
0|ukrajina|U
0|urugvaj|U
0|ujedinjenokraljevstvo|U
0|ujedinjenakraljevina|U
0|ujedinjenokraljevstvovelikebritanijeiirske|U
0|ujedinjenokraljevstvovelikebritanijeiseverneirske|U
0|ujedinjenokraljevstvovelikebritanijeisjeverneirske|U
0|ujedinjenakraljevinavelikebritanijeiirske|U
0|ujedinjenakraljevinavelikebritanijeiseverneirske|U
0|ujedinjenakraljevinavelikebritanijeisjeverneirske|U
0|ujedinjenarepublikatanzanija|U
0|unijakomora|U
0|filipini|F
0|finska|F
0|finskarepublika|F
0|fidži|F
0|fidzi|F
0|francuska|F
0|francuskarepublika|F
0|farskaostrva|F
0|florida|F
0|federacijasvetikristoferinevis|F
0|haiti|H
0|holandija|H
0|honduras|H
0|hrvatska|H
0|havaji|H
0|helenskarepublika|H
0|hašemitskakraljevinajordan|H
0|hasemitskakraljevinajordan|H
0|centralnoafričkarepublika|C
0|centralnoafrickarepublika|C
0|crnagora|C
0|cipar|C
0|čad|Č
0|cad|Č
0|češka|Č
0|ceska|Č
0|češkarepublika|Č
0|ceskarepublika|Č
0|čile|Č
0|cile|Č
0|džibuti|DŽ
0|dzibuti|DŽ
0|džordžija|DŽ
0|dzordzija|DŽ
0|švajcarska|Š
0|svajcarska|Š
0|švajcarskakonfederacija|Š
0|svajcarskakonfederacija|Š
0|švicarskakonfederacija|Š
0|svicarskakonfederacija|Š
0|švedska|Š
0|svedska|Š
0|španija|Š
0|spanija|Š
0|španjolska|Š
0|spanjolska|Š
0|šrilanka|Š
0|srilanka|Š
0|škotska|Š
0|skotska|Š
1|apatin|A
1|aranđelovac|A
1|arandjelovac|A
1|alžir|A
1|alzir|A
1|andoralavelja|A
1|adelejd|A
1|antverpen|A
1|akra|A
1|atina|A
1|agrinion|A
1|aleksandrupolis|A
1|aleksandrija|A
1|asuan|A
1|asmara|A
1|adisabeba|A
1|aman|A
1|akaba|A
1|aden|A
1|astana|A
1|almati|A
1|amohostos|A
1|akapulko|A
1|abudža|A
1|abudza|A
1|abidžan|A
1|abidzan|A
1|asunsion|A
1|amadora|A
1|almada|A
1|apija|A
1|alep|A
1|albukerki|A
1|atlanta|A
1|ankara|A
1|adana|A
1|antalija|A
1|ašhabad|A
1|ashabad|A
1|abudabi|A
1|aberdin|A
1|avr|A
1|anžer|A
1|anzer|A
1|amsterdam|A
1|ajndhoven|A
1|almere|A
1|alikante|A
1|aleksinac|A
1|ada|A
1|aleksandrovac|A
1|aleksinačkirudnik|A
1|aleksinackirudnik|A
1|alibunar|A
1|arilje|A
1|andrijevica|A
1|arhangeljsk|A
1|arhangelsk|A
1|amšteten|A
1|amsteten|A
1|acimovići|A
1|acimovici|A
1|adaševci|A
1|adasevci|A
1|adorjan|A
1|adrani|A
1|adrovac|A
1|adžt|A
1|adzt|A
1|adžinelivade|A
1|adzinelivade|A
1|adžići|A
1|adzici|A
1|ahmote|A
1|ajdačići|A
1|ajdacici|A
1|akmačići|A
1|akmacici|A
1|alabana|A
1|alakince|A
1|albanci|A
1|albanija|A
1|aldinareka|A
1|aldinac|A
1|aleksašantić|A
1|aleksasantic|A
1|aleksandrovo|A
1|aleksine|A
1|aleksići|A
1|aleksici|A
1|alinpotok|A
1|aliveroviće|A
1|aliverovice|A
1|aliđerce|A
1|alidjerce|A
1|aljinovići|A
1|aljinovici|A
1|aljudovo|A
1|aluloviće|A
1|alulovice|A
1|amajić|A
1|amajic|A
1|amarevi|A
1|amerić|A
1|americ|A
1|amzići|A
1|amzici|A
1|andići|A
1|andici|A
1|angelince|A
1|aničići|A
1|anicici|A
1|antići|A
1|antici|A
1|anđelinkovci|A
1|andjelinkovci|A
1|anđelkovskamahala|A
1|andjelkovskamahala|A
1|aradac|A
1|arapovac|A
1|arapoviće|A
1|arapovice|A
1|arbanasce|A
1|arbanaška|A
1|arbanaska|A
1|aritonovamahala|A
1|arnajevo|A
1|arnautskamahala|A
1|asanovac|A
1|asmanskamahala|A
1|ateganmahala|A
1|atenica|A
1|avramovići|A
1|avramovici|A
1|azanja|A
1|azbresnica|A
1|ašani|A
1|asani|A
1|ašanja|A
1|asanja|A
1|abram|A
1|abramovići|A
1|abramovici|A
1|adalukačka|A
1|adalukacka|A
1|adamovec|A
1|adamovići|A
1|adamovici|A
1|adolfovo|A
1|ajduci|A
1|ajdukovićbrdo|A
1|ajdukovicbrdo|A
1|ajđerovac|A
1|ajdjerovac|A
1|akmadžići|A
1|akmadzici|A
1|akrap|A
1|alaginci|A
1|alan|A
1|albertinovac|A
1|aleksandrovacmikleuški|A
1|aleksandrovacmikleuski|A
1|aleksandrovacpožeški|A
1|aleksandrovacpozeski|A
1|alerići|A
1|alerici|A
1|alivojvodići|A
1|alivojvodici|A
1|aljmaš|A
1|aljmas|A
1|amatovci|A
1|amižići|A
1|amizici|A
1|andraševec|A
1|andrasevec|A
1|andrijaševci|A
1|andrijasevci|A
1|anićaglavica|A
1|anicaglavica|A
1|antenal|A
1|antonci|A
1|antunovac|A
1|ančići|A
1|ancici|A
1|apatovac|A
1|apševci|A
1|apsevci|A
1|arambašići|A
1|arambasici|A
1|aračići|A
1|aracici|A
1|arbanasi|A
1|arbanija|A
1|arbutine|A
1|arbutinevrpoljske|A
1|arule|A
1|aržano|A
1|arzano|A
1|ašikovci|A
1|asikovci|A
1|abzi-kula|A
1|abzikula|A
1|adilovići|A
1|adilovici|A
1|adrovići|A
1|adrovici|A
1|agovica|A
1|ahmedmujovići|A
1|ahmedmujovici|A
1|alagindo|A
1|alibrahimaj|A
1|alilovce|A
1|alići|A
1|alici|A
1|alje|A
1|aluga|A
1|aluge|A
1|ambula|A
1|ametovina|A
1|andrijevo|A
1|andrići|A
1|andrici|A
1|andričići|A
1|andricici|A
1|androvići|A
1|androvici|A
1|andželati|A
1|andzelati|A
1|arapi|A
1|arbanaškido|A
1|arbanaskido|A
1|arbneš|A
1|arbnes|A
1|arza|A
1|avlija|A
1|avtenice|A
1|azanjeabdulići|A
1|abdulici|A
1|adžićaograde|A
1|adzicaograde|A
1|agarovići|A
1|agarovici|A
1|aginci|A
1|aginoselo|A
1|agići|A
1|agici|A
1|ahmenovopolje|A
1|ahmetovci|A
1|ahmići|A
1|ahmici|A
1|ahmovići|A
1|ahmovici|A
1|ahovo|A
1|aladuzi|A
1|alagići|A
1|alagici|A
1|aleksinameđa|A
1|aleksinamedja|A
1|alibegovići|A
1|alibegovici|A
1|alibegovći|A
1|alibegovci|A
1|alipašinopolje|A
1|alipasinopolje|A
1|amajlije|A
1|aranđelovo|A
1|arandjelovo|A
1|arapovače|A
1|arapovace|A
1|arapuša|A
1|arapusa|A
1|argud|A
1|arnautovići|A
1|arnautovici|A
1|arslanagićamost|A
1|arslanagicamost|A
1|ataševac|A
1|atasevac|A
1|atlićmahala|A
1|atlicmahala|A
1|atmačići|A
1|atmacici|A
1|avramovina|A
1|avtovac|A
1|azapovići|A
1|azapovici|A
1|azići|A
1|azici|A
1|ahen|A
1|arad|A
1|bačkapalanka|B
1|backapalanka|B
1|bačkatopola|B
1|backatopola|B
1|beograd|B
1|bečej|B
1|becej|B
1|bor|B
1|baku|B
1|buenosajres|B
1|brizbejn|B
1|bridžtaun|B
1|bridztaun|B
1|brisel|B
1|briž|B
1|briz|B
1|belmopan|B
1|belize|B
1|brest|B
1|banjaluka|B
1|bijeljina|B
1|brčko|B
1|brcko|B
1|bihać|B
1|bihac|B
1|brazilija|B
1|belohorizonte|B
1|burgas|B
1|budžumbura|B
1|budzumbura|B
1|bandžul|B
1|bandzul|B
1|bisau|B
1|batumi|B
1|ber|B
1|bulavajo|B
1|bangalor|B
1|bagdad|B
1|basra|B
1|bolonja|B
1|bari|B
1|breša|B
1|bresa|B
1|blumfontejn|B
1|batambang|B
1|biškek|B
1|biskek|B
1|bogota|B
1|brazavil|B
1|busan|B
1|bejrut|B
1|bengazi|B
1|budimpešta|B
1|budimpesta|B
1|bitolj|B
1|blantir|B
1|bamako|B
1|birkirkara|B
1|berlin|B
1|bremen|B
1|bergen|B
1|bode|B
1|braga|B
1|bukurešt|B
1|bukurest|B
1|brašov|B
1|brasov|B
1|borgomađore|B
1|borgomadjore|B
1|baster|B
1|bratislava|B
1|berkli|B
1|boston|B
1|baltimor|B
1|bafalo|B
1|banskabistrica|B
1|bangkok|B
1|bizerta|B
1|bursa|B
1|bodrum|B
1|birmingem|B
1|bristol|B
1|belfast|B
1|buhara|B
1|bordo|B
1|breda|B
1|bjelovar|B
1|bangi|B
1|bijelopolje|B
1|bar|B
1|berane|B
1|budva|B
1|brno|B
1|bazel|B
1|bern|B
1|barselona|B
1|bilbao|B
1|bugojno|B
1|beč|B
1|bec|B
1|bečići|B
1|becici|B
1|babušnica|B
1|babusnica|B
1|batočina|B
1|batocina|B
1|bajinabašta|B
1|bajinabasta|B
1|bajmok|B
1|baljevac|B
1|banatskikarlovac|B
1|banjakoviljača|B
1|banjakoviljaca|B
1|bač|B
1|bac|B
1|bačkijarak|B
1|backijarak|B
1|bačkipetrovac|B
1|backipetrovac|B
1|belapalanka|B
1|belacrkva|B
1|belipotok|B
1|belopolje|B
1|beočin|B
1|beocin|B
1|blace|B
1|bogovina|B
1|boljevac|B
1|borča|B
1|borca|B
1|bosilegrad|B
1|brzapalanka|B
1|brus|B
1|bujanovac|B
1|bosanskakrupa|B
1|bosanskagradiška|B
1|bosanskagradiska|B
1|bileća|B
1|bileca|B
1|bijela|B
1|burtaiši|B
1|burtaisi|B
1|bakar|B
1|belimanastir|B
1|belišće|B
1|belisce|B
1|benkovac|B
1|biogradnamoru|B
1|buje|B
1|buzet|B
1|bitola|B
1|banovići|B
1|banovici|B
1|berkovići|B
1|berkovici|B
1|blagaj|B
1|bosanskadubica|B
1|bosanskograhovo|B
1|bosanskakostajnica|B
1|bosanskibrod|B
1|bosanskinovi|B
1|bosanskipetrovac|B
1|bosanskišamac|B
1|bosanskisamac|B
1|bratunac|B
1|breza|B
1|busovača|B
1|busovaca|B
1|bužim|B
1|buzimbabakarinci|B
1|babajić|B
1|babajic|B
1|babatrenci|B
1|babe|B
1|babindol|B
1|babinkal|B
1|babinaluka|B
1|babinapoljana|B
1|babići|B
1|babici|B
1|babičko|B
1|babicko|B
1|babotinac|B
1|bace|B
1|bacijevce|B
1|badanj|B
1|badince|B
1|badljevica|B
1|badnjevac|B
1|badovinci|B
1|bagačiće|B
1|bagacice|B
1|bagrdan|B
1|bagremovo|B
1|bainovskamahala|B
1|bajevac|B
1|bajevica|B
1|bajinci|B
1|bajinovamahala|B
1|bajićakraj|B
1|bajicakraj|B
1|bajnovići|B
1|bajnovici|B
1|bajovići|B
1|bajovici|B
1|bajčetina|B
1|bajcetina|B
1|bajčince|B
1|bajcince|B
1|bajša|B
1|bajsa|B
1|bakionica|B
1|balajinac|B
1|balajnac|B
1|balanovac|B
1|balejpivnica|B
1|balinac|B
1|balinovac|B
1|balinovce|B
1|balinović|B
1|balinovic|B
1|balići|B
1|balici|B
1|baličevac|B
1|balicevac|B
1|baljen|B
1|baljkovac|B
1|balosave|B
1|baltaberilovac|B
1|baltijance|B
1|balugaljubićka|B
1|balugaljubicka|B
1|balugatrnavska|B
1|balčak|B
1|balcak|B
1|banatskadubica|B
1|banatskapalanka|B
1|banatskasubotica|B
1|banatskatopola|B
1|banatskibrestovac|B
1|banatskidespotovac|B
1|banatskidvor|B
1|banatskimonoštor|B
1|banatskimonostor|B
1|banatskisokolac|B
1|banatskoaranđelovo|B
1|banatskoarandjelovo|B
1|banatskokarađorđevo|B
1|banatskokaradjordjevo|B
1|banatskonovoselo|B
1|banatskovelikoselo|B
1|banatskovišnjićevo|B
1|banatskovisnjicevo|B
1|bancarevo|B
1|baničina|B
1|banicina|B
1|banja|B
1|banjani|B
1|banjevac|B
1|banjica|B
1|banjskidol|B
1|bankovac|B
1|bankovci|B
1|banovopolje|B
1|banoštor|B
1|banostor|B
1|bapskopolje|B
1|bara|B
1|barajevo|B
1|barakovići|B
1|barakovici|B
1|baraljevac|B
1|baranda|B
1|baratarci|B
1|baratarskamahala|B
1|barati|B
1|barbace|B
1|barbarušince|B
1|barbarusince|B
1|barbatovac|B
1|bare|B
1|barelić|B
1|barelic|B
1|barica|B
1|barice|B
1|barič|B
1|baric|B
1|barje|B
1|barječiflik|B
1|barjeciflik|B
1|barlovo|B
1|baroševac|B
1|barosevac|B
1|barzilovica|B
1|bastav|B
1|batajnica|B
1|batalage|B
1|batinac|B
1|batnjik|B
1|batote|B
1|batovac|B
1|batrage|B
1|batrovci|B
1|batulovce|B
1|batušinac|B
1|batusinac|B
1|bavanište|B
1|bavaniste|B
1|bazovik|B
1|baćevac|B
1|bacevac|B
1|baćoglava|B
1|bacoglava|B
1|bačevci|B
1|bacevci|B
1|bačevica|B
1|bacevica|B
1|bačevina|B
1|bacevina|B
1|bačevište|B
1|baceviste|B
1|bačevo|B
1|bacevo|B
1|bačija|B
1|bacija|B
1|bačilovina|B
1|bacilovina|B
1|bačina|B
1|bacina|B
1|bačinac|B
1|bacinac|B
1|bačinci|B
1|bacinci|B
1|bačiće|B
1|bacice|B
1|bačkibreg|B
1|backibreg|B
1|bačkibrestovac|B
1|backibrestovac|B
1|bačkigračac|B
1|backigracac|B
1|bačkimonoštor|B
1|backimonostor|B
1|bačkisokolac|B
1|backisokolac|B
1|bačkivinogradi|B
1|backivinogradi|B
1|bačkodobropolje|B
1|backodobropolje|B
1|bačkodušanovo|B
1|backodusanovo|B
1|bačkogradište|B
1|backogradiste|B
1|bačkonovoselo|B
1|backonovoselo|B
1|bačkopetrovoselo|B
1|backopetrovoselo|B
1|bačvište|B
1|bacviste|B
1|bašaid|B
1|basaid|B
1|bašejci|B
1|basejci|B
1|bašin|B
1|basin|B
1|baščeluci|B
1|basceluci|B
1|becanj|B
1|bedinavaroš|B
1|bedinavaros|B
1|begaljica|B
1|begejci|B
1|begeč|B
1|begec|B
1|begovi|B
1|bekrici|B
1|belareka|B
1|belastena|B
1|belavoda|B
1|belanovica|B
1|belasica|B
1|belbradić|B
1|belbradic|B
1|belevode|B
1|belegiš|B
1|belegis|B
1|beligaj|B
1|beliševo|B
1|belisevo|B
1|beljajka|B
1|beljevac|B
1|beljin|B
1|beljina|B
1|beloblato|B
1|belogoš|B
1|belogos|B
1|beloinje|B
1|beloljin|B
1|belosavci|B
1|belotinac|B
1|belotić|B
1|belotic|B
1|beloševac|B
1|belosevac|B
1|belut|B
1|belušić|B
1|belusic|B
1|bent|B
1|beoci|B
1|beomužević|B
1|beomuzevic|B
1|beočić|B
1|beocic|B
1|beranje|B
1|berbatovo|B
1|berduj|B
1|berilje|B
1|berilovac|B
1|berinizvor|B
1|berišane|B
1|berisane|B
1|berkasovo|B
1|berkovac|B
1|berlovine|B
1|berovica|B
1|berčevac|B
